id,year,month,geoid,cii.indoor.demand,cii.indoor.total_use,cii.total_use,indoor.demand,outdoor.demand
116,2014,2,60375710002,352432.62,352432.62,352432.62,1.1747755e+06,805412
117,2014,2,60375710003,385164.7,385164.7,385164.7,1.2838822e+06,609316.6
118,2014,2,60375710004,310807.2,310807.2,310807.2,1.03602394e+06,437377.94
119,2014,2,60375710005,284537.06,284537.06,284537.06,948456.9,502174.66
120,2014,2,60375710006,503684.44,503684.44,503684.44,1.6789481e+06,634041.7
121,2014,2,60375711011,281150.66,281150.66,281150.66,937168.9,401853.44
122,2014,2,60375711012,318149.84,318149.84,318149.84,1.0604995e+06,478302.16
123,2014,2,60375711013,434594.62,434594.62,434594.62,1.4486488e+06,686618
124,2014,2,60375711014,467974.1,467974.1,467974.1,1.5599136e+06,642567.56
125,2014,2,60375711015,277338.88,277338.88,277338.88,924462.9,875892.6
126,2014,2,60375711021,315077.94,315077.94,315077.94,1.0502598e+06,463239.78
127,2014,2,60375711022,349140,349140,349140,1.1638e+06,519226.4
128,2014,2,60375711023,324226.62,324226.62,324226.62,1.0807554e+06,773013.6
129,2014,2,60375711024,238919.23,238919.23,238919.23,796397.44,744594
130,2014,2,60375711025,284416.4,284416.4,284416.4,948054.75,410095.06
131,2014,2,60375713001,505761.12,505761.12,505761.12,1.6858704e+06,1.1274062e+06
132,2014,2,60375713002,378761.12,378761.12,378761.12,1.2625371e+06,2.7896698e+06
133,2014,2,60375713003,564245.1,564245.1,564245.1,1.8808171e+06,1.2865561e+06
134,2014,2,60375713004,280509.62,280509.62,280509.62,935032.06,443346.06
135,2014,2,60375714001,478000.75,478000.75,478000.75,1.5933359e+06,675534.3
136,2014,2,60375714002,241142.2,241142.2,241142.2,803807.4,428567.8
137,2014,2,60375714003,252713.48,252713.48,252713.48,842378.3,1.4925984e+06
138,2014,2,60375714004,507687.25,507687.25,507687.25,1.6922909e+06,748572.75
139,2014,2,60375714005,406484.8,406484.8,406484.8,1.3549494e+06,570665.94
140,2014,2,60375715031,853357.4,853357.4,853357.4,2.8445245e+06,469776.28
141,2014,2,60375715042,501929.03,501929.03,501929.03,1.6730968e+06,74743.59
142,2014,2,60375719003,565616.1,565616.1,565616.1,1.8853871e+06,16483.379
143,2014,3,60375550011,467663.6,467663.6,467663.6,1.5588786e+06,2.291893e+06
144,2014,3,60375550012,273278.72,273278.72,273278.72,910929.1,562112.44
145,2014,3,60375550013,485448.2,485448.2,485448.2,1.6181606e+06,1.08555e+06
146,2014,3,60375550014,959361.94,959361.94,959361.94,3.197873e+06,1.5703124e+06
147,2014,3,60375550021,542746.3,542746.3,542746.3,1.8091545e+06,1.2900508e+06
148,2014,3,60375550022,919051.2,919051.2,919051.2,3.063504e+06,2.2934825e+06
149,2014,3,60375551021,1.5695571e+06,1.5695571e+06,1.5695571e+06,5.231857e+06,2.6457962e+06
150,2014,3,60375551022,958623.4,958623.4,958623.4,3.1954112e+06,770851.75
151,2014,3,60375551031,1.0546266e+06,1.0546266e+06,1.0546266e+06,3.5154222e+06,1.925275e+06
152,2014,3,60375551032,866600.25,866600.25,866600.25,2.8886675e+06,1.8468654e+06
153,2014,3,60375551041,1.02881206e+06,1.02881206e+06,1.02881206e+06,3.4293735e+06,2.0291149e+06
154,2014,3,60375700011,506222.84,506222.84,506222.84,1.6874095e+06,2.5011622e+06
155,2014,3,60375700012,334855.6,334855.6,334855.6,1.1161852e+06,690852.75
156,2014,3,60375700013,604127.3,604127.3,604127.3,2.0137578e+06,2.1663318e+06
157,2014,3,60375700014,452881.97,452881.97,452881.97,1.5096065e+06,1.2656802e+06
158,2014,3,60375700021,387889.5,387889.5,387889.5,1.292965e+06,1.3573348e+06
159,2014,3,60375700022,306911.62,306911.62,306911.62,1.02303875e+06,877870.4
160,2014,3,60375700023,453590.34,453590.34,453590.34,1.5119679e+06,1.49879e+06
161,2014,3,60375700031,428186.53,428186.53,428186.53,1.4272885e+06,1.6084575e+06
162,2014,3,60375700032,515247.56,515247.56,515247.56,1.7174919e+06,1.3048851e+06
163,2014,3,60375700033,309679.03,309679.03,309679.03,1.0322634e+06,837605.94
164,2014,3,60375700034,264153.12,264153.12,264153.12,880510.44,779328.44
165,2014,3,60375700035,356976.2,356976.2,356976.2,1.1899206e+06,986478.3
166,2014,3,60375707011,332760.47,332760.47,332760.47,1.1092016e+06,918134.6
167,2014,3,60375707012,1.1354621e+06,1.1354621e+06,1.1354621e+06,3.784874e+06,1.6201131e+06
168,2014,3,60375707013,278684.44,278684.44,278684.44,928948.1,818533.25
169,2014,3,60375707014,333118.3,333118.3,333118.3,1.1103944e+06,968995.06
170,2014,3,60375707015,853038.6,853038.6,853038.6,2.843462e+06,2.5753335e+06
171,2014,3,60375707021,608824.8,608824.8,608824.8,2.0294161e+06,1.3991888e+06
172,2014,3,60375707022,435088,435088,435088,1.4502932e+06,1.3716392e+06
173,2014,3,60375708001,529589.4,529589.4,529589.4,1.7652979e+06,1.6481922e+06
174,2014,3,60375708002,527581.25,527581.25,527581.25,1.7586041e+06,1.5252799e+06
175,2014,3,60375708003,511550.3,511550.3,511550.3,1.7051678e+06,2.5287115e+06
176,2014,3,60375708004,423305.84,423305.84,423305.84,1.4110195e+06,1.2471374e+06
177,2014,3,60375708005,387187.88,387187.88,387187.88,1.2906262e+06,2.5748035e+06
178,2014,3,60375709011,574410.7,574410.7,574410.7,1.9147024e+06,1.7764026e+06
179,2014,3,60375709012,543808.1,543808.1,543808.1,1.8126938e+06,1.9072621e+06
180,2014,3,60375709013,536395.25,536395.25,536395.25,1.7879841e+06,1.7170656e+06
181,2014,3,60375709014,298181.75,298181.75,298181.75,993939.1,882108.6
182,2014,3,60375709015,453097.38,453097.38,453097.38,1.5103246e+06,1.6063384e+06
183,2014,3,60375709021,468444.22,468444.22,468444.22,1.5614808e+06,1.3435601e+06
184,2014,3,60375709022,603102.25,603102.25,603102.25,2.0103408e+06,1.8834212e+06
185,2014,3,60375709023,495882.16,495882.16,495882.16,1.6529405e+06,1.5157434e+06
186,2014,3,60375710001,453377.12,453377.12,453377.12,1.5112571e+06,2.416395e+06
187,2014,3,60375710002,390193.28,390193.28,390193.28,1.3006442e+06,1.501439e+06
188,2014,3,60375710003,426432.34,426432.34,426432.34,1.4214411e+06,1.1358804e+06
189,2014,3,60375710004,344107.94,344107.94,344107.94,1.1470265e+06,815354.56
190,2014,3,60375710005,315023.2,315023.2,315023.2,1.0500772e+06,936147.75
191,2014,3,60375710006,557650.6,557650.6,557650.6,1.8588354e+06,1.1819726e+06
192,2014,3,60375711011,311273.97,311273.97,311273.97,1.0375799e+06,749130.2
193,2014,3,60375711012,352237.34,352237.34,352237.34,1.1741245e+06,891644.94
194,2014,3,60375711013,481158.3,481158.3,481158.3,1.603861e+06,1.2799848e+06
195,2014,3,60375711014,518114.16,518114.16,518114.16,1.7270472e+06,1.1978665e+06
196,2014,3,60375711015,307053.75,307053.75,307053.75,1.0235125e+06,1.6328281e+06
