id,year,month,geoid,cii.demand,gray_produced,indoor.demand,outdoor.demand,wastewater.supply
221,2001,5,371639708005,0,68373.02,154876.39,0,139388.77
222,2001,6,371639706001,0,509752.34,1.1546749e+06,0,1.0392074e+06
223,2001,6,371639706002,0,805689.9,1.8250231e+06,0,1.6425209e+06
224,2001,6,371639706003,0,574764.1,1.3019375e+06,0,1.1717438e+06
225,2001,6,371639706004,0,577936.6,1.3091238e+06,0,1.1782114e+06
226,2001,6,371639707001,0,5075.285,11496.376,0,10346.738
227,2001,6,371639707002,0,660735.1,1.4966762e+06,0,1.3470086e+06
228,2001,6,371639707003,0,494106.9,1.1192354e+06,0,1.0073118e+06
229,2001,6,371639707004,0,596765.7,1.3517746e+06,0,1.2165972e+06
230,2001,6,371639707005,0,105487.53,238947.02,0,215052.31
231,2001,6,371639708001,0,659587.5,1.4940768e+06,0,1.344669e+06
232,2001,6,371639708002,0,547537.1,1.2402638e+06,0,1.1162374e+06
233,2001,6,371639708003,0,211223.48,478456.75,0,430611.1
234,2001,6,371639708005,0,66167.44,149880.39,0,134892.34
235,2001,7,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
236,2001,7,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
237,2001,7,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
238,2001,7,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
239,2001,7,371639707001,0,5244.4614,11879.588,0,10691.629
240,2001,7,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
241,2001,7,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
242,2001,7,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
243,2001,7,371639707005,0,109003.78,246911.92,0,222220.73
244,2001,7,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
245,2001,7,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
246,2001,7,371639708003,0,218264.28,494405.3,0,444964.78
247,2001,7,371639708005,0,68373.02,154876.39,0,139388.77
248,2001,8,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
249,2001,8,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
250,2001,8,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
251,2001,8,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
252,2001,8,371639707001,0,5244.4614,11879.588,0,10691.629
253,2001,8,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
254,2001,8,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
255,2001,8,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
256,2001,8,371639707005,0,109003.78,246911.92,0,222220.73
257,2001,8,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
258,2001,8,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
259,2001,8,371639708003,0,218264.28,494405.3,0,444964.78
260,2001,8,371639708005,0,68373.02,154876.39,0,139388.77
261,2001,9,371639706001,0,509752.34,1.1546749e+06,0,1.0392074e+06
262,2001,9,371639706002,0,805689.9,1.8250231e+06,0,1.6425209e+06
263,2001,9,371639706003,0,574764.1,1.3019375e+06,0,1.1717438e+06
264,2001,9,371639706004,0,577936.6,1.3091238e+06,0,1.1782114e+06
265,2001,9,371639707001,0,5075.285,11496.376,0,10346.738
266,2001,9,371639707002,0,660735.1,1.4966762e+06,0,1.3470086e+06
267,2001,9,371639707003,0,494106.9,1.1192354e+06,0,1.0073118e+06
268,2001,9,371639707004,0,596765.7,1.3517746e+06,0,1.2165972e+06
269,2001,9,371639707005,0,105487.53,238947.02,0,215052.31
270,2001,9,371639708001,0,659587.5,1.4940768e+06,0,1.344669e+06
271,2001,9,371639708002,0,547537.1,1.2402638e+06,0,1.1162374e+06
272,2001,9,371639708003,0,211223.48,478456.75,0,430611.1
273,2001,9,371639708005,0,66167.44,149880.39,0,134892.34
274,2001,10,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
275,2001,10,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
276,2001,10,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
277,2001,10,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
278,2001,10,371639707001,0,5244.4614,11879.588,0,10691.629
279,2001,10,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
280,2001,10,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
281,2001,10,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
282,2001,10,371639707005,0,109003.78,246911.92,0,222220.73
283,2001,10,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
284,2001,10,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
285,2001,10,371639708003,0,218264.28,494405.3,0,444964.78
286,2001,10,371639708005,0,68373.02,154876.39,0,139388.77
287,2001,11,371639706001,0,509752.34,1.1546749e+06,0,1.0392074e+06
288,2001,11,371639706002,0,805689.9,1.8250231e+06,0,1.6425209e+06
289,2001,11,371639706003,0,574764.1,1.3019375e+06,0,1.1717438e+06
290,2001,11,371639706004,0,577936.6,1.3091238e+06,0,1.1782114e+06
291,2001,11,371639707001,0,5075.285,11496.376,0,10346.738
292,2001,11,371639707002,0,660735.1,1.4966762e+06,0,1.3470086e+06
293,2001,11,371639707003,0,494106.9,1.1192354e+06,0,1.0073118e+06
294,2001,11,371639707004,0,596765.7,1.3517746e+06,0,1.2165972e+06
295,2001,11,371639707005,0,105487.53,238947.02,0,215052.31
296,2001,11,371639708001,0,659587.5,1.4940768e+06,0,1.344669e+06
297,2001,11,371639708002,0,547537.1,1.2402638e+06,0,1.1162374e+06
298,2001,11,371639708003,0,211223.48,478456.75,0,430611.1
299,2001,11,371639708005,0,66167.44,149880.39,0,134892.34
300,2001,12,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
301,2001,12,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
302,2001,12,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
303,2001,12,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
304,2001,12,371639707001,0,5244.4614,11879.588,0,10691.629
305,2001,12,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
306,2001,12,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
307,2001,12,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
308,2001,12,371639707005,0,109003.78,246911.92,0,222220.73
309,2001,12,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
310,2001,12,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
311,2001,12,371639708003,0,218264.28,494405.3,0,444964.78
312,2001,12,371639708005,0,68373.02,154876.39,0,139388.77
313,2002,1,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
314,2002,1,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
315,2002,1,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
316,2002,1,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
317,2002,1,371639707001,0,5244.4614,11879.588,0,10691.629
318,2002,1,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
319,2002,1,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
320,2002,1,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
321,2002,1,371639707005,0,109003.78,246911.92,0,222220.73
322,2002,1,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
323,2002,1,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
324,2002,1,371639708003,0,218264.28,494405.3,0,444964.78
325,2002,1,371639708005,0,68373.02,154876.39,0,139388.77
326,2002,2,371639706001,0,475768.88,1.0776965e+06,0,969926.9
327,2002,2,371639706002,0,751977.2,1.7033549e+06,0,1.5330194e+06
328,2002,2,371639706003,0,536446.5,1.2151416e+06,0,1.0936275e+06
329,2002,2,371639706004,0,539407.5,1.2218488e+06,0,1.0996639e+06
330,2002,2,371639707001,0,4736.933,10729.95,0,9656.955
331,2002,2,371639707002,0,616686.1,1.3968979e+06,0,1.2572081e+06
332,2002,2,371639707003,0,461166.47,1.0446196e+06,0,940157.7
333,2002,2,371639707004,0,556981.3,1.2616564e+06,0,1.1354908e+06
334,2002,2,371639707005,0,98455.03,223017.22,0,200715.5
335,2002,2,371639708001,0,615615,1.3944716e+06,0,1.2550244e+06
336,2002,2,371639708002,0,511034.62,1.1575795e+06,0,1.0418215e+06
337,2002,2,371639708003,0,197141.92,446559.66,0,401903.7
338,2002,2,371639708005,0,61756.277,139888.36,0,125899.52
339,2002,3,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
340,2002,3,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
341,2002,3,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
342,2002,3,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
343,2002,3,371639707001,0,5244.4614,11879.588,0,10691.629
344,2002,3,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
345,2002,3,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
346,2002,3,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
347,2002,3,371639707005,0,109003.78,246911.92,0,222220.73
348,2002,3,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
349,2002,3,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
350,2002,3,371639708003,0,218264.28,494405.3,0,444964.78
351,2002,3,371639708005,0,68373.02,154876.39,0,139388.77
352,2002,4,371639706001,0,509752.34,1.1546749e+06,0,1.0392074e+06
353,2002,4,371639706002,0,805689.9,1.8250231e+06,0,1.6425209e+06
354,2002,4,371639706003,0,574764.1,1.3019375e+06,0,1.1717438e+06
355,2002,4,371639706004,0,577936.6,1.3091238e+06,0,1.1782114e+06
356,2002,4,371639707001,0,5075.285,11496.376,0,10346.738
357,2002,4,371639707002,0,660735.1,1.4966762e+06,0,1.3470086e+06
358,2002,4,371639707003,0,494106.9,1.1192354e+06,0,1.0073118e+06
359,2002,4,371639707004,0,596765.7,1.3517746e+06,0,1.2165972e+06
360,2002,4,371639707005,0,105487.53,238947.02,0,215052.31
361,2002,4,371639708001,0,659587.5,1.4940768e+06,0,1.344669e+06
362,2002,4,371639708002,0,547537.1,1.2402638e+06,0,1.1162374e+06
363,2002,4,371639708003,0,211223.48,478456.75,0,430611.1
364,2002,4,371639708005,0,66167.44,149880.39,0,134892.34
365,2002,5,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
366,2002,5,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
367,2002,5,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
368,2002,5,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
369,2002,5,371639707001,0,5244.4614,11879.588,0,10691.629
370,2002,5,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
371,2002,5,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
372,2002,5,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
373,2002,5,371639707005,0,109003.78,246911.92,0,222220.73
374,2002,5,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
375,2002,5,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
376,2002,5,371639708003,0,218264.28,494405.3,0,444964.78
377,2002,5,371639708005,0,68373.02,154876.39,0,139388.77
378,2002,6,371639706001,0,509752.34,1.1546749e+06,0,1.0392074e+06
379,2002,6,371639706002,0,805689.9,1.8250231e+06,0,1.6425209e+06
380,2002,6,371639706003,0,574764.1,1.3019375e+06,0,1.1717438e+06
381,2002,6,371639706004,0,577936.6,1.3091238e+06,0,1.1782114e+06
