OID_,PWSID,State,PWS_Name,Primacy_Agency,Pop_Cat_5,Population_Served_Count,Service_Connections_Count,Method,Service_Area_Type,Symbology_Field,Original_Data_Provider,Data_Provider_Type,Boundary_Method,Method_Basis,Method_Details,System_Type,Verification_Status,Verification_Process,Verifier_Type,Publisher_Owner,Data_Source_Link,Secondary_ID,Secondary_ID_Source,Detailed_Facility_Report,Date_Created,Date_Modified,Verification_Date,ORIG_FID,x,y
54,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277608459999996,34.991047920000000
55,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277723460000004,34.990868919999997
56,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277920460000004,34.990444920000002
57,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277964460000007,34.990267920000001
58,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.278017460000001,34.989990919999997
59,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.278023460000000,34.989851920000000
60,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.278029459999999,34.989655919999997
61,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.278007459999998,34.989405920000003
62,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277977460000002,34.989234920000001
63,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277901459999995,34.988971919999997
64,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277825460000003,34.988782919999998
65,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277648459999995,34.988470919999997
66,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277508460000007,34.988289920000000
