OID_,PWSID,State,PWS_Name,Primacy_Agency,Pop_Cat_5,Population_Served_Count,Service_Connections_Count,Method,Service_Area_Type,Symbology_Field,Original_Data_Provider,Data_Provider_Type,Boundary_Method,Method_Basis,Method_Details,System_Type,Verification_Status,Verification_Process,Verifier_Type,Publisher_Owner,Data_Source_Link,Secondary_ID,Secondary_ID_Source,Detailed_Facility_Report,Date_Created,Date_Modified,Verification_Date,ORIG_FID,x,y
135,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.287794460000001,34.979851920000002
136,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.287894460000004,34.979939920000000
137,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288061459999994,34.980110920000001
138,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288108460000004,34.980181920000000
139,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288201459999996,34.980368919999997
140,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288281459999993,34.980434920000000
141,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288448459999998,34.980533919999999
142,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288561459999997,34.980593919999997
143,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288688460000003,34.980670920000001
144,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288795460000003,34.980720920000003
145,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288888459999995,34.980796920000003
146,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.288948460000000,34.980873920000001
147,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289008460000005,34.980983920000000
148,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289062459999997,34.981049919999997
149,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289168459999999,34.981132920000000
150,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289322459999994,34.981192919999998
151,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289422459999997,34.981253920000000
152,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289549460000003,34.981296919999998
153,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289616460000005,34.981313919999998
154,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289719460000001,34.981308919999996
155,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289756460000007,34.981297920000003
156,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289782459999998,34.981346920000000
157,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.289902459999993,34.981522920000003
158,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.290049460000006,34.981720920000001
159,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.290096460000001,34.981797919999998
160,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.290143459999996,34.981890919999998
161,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.290189459999993,34.981967920000002
162,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.290223460000007,34.982055920000001
163,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.290243459999999,34.982209920000003
164,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.290296459999993,34.982538920000003
165,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.290323459999996,34.982787920000000
166,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.291203460000006,34.982391919999998
167,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.291451460000005,34.982233919999999
168,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.291690459999998,34.982082920000003
169,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.292085459999996,34.981571920000000
170,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.292214459999997,34.981247920000001
171,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.292298459999998,34.981038920000003
172,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.292530459999995,34.978774919999999
173,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.292604460000007,34.978062919999999
174,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.292660459999993,34.977522919999998
175,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.293095460000004,34.977574920000002
176,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.293563349999999,34.977630970000000
177,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.293879599999997,34.977112200000001
178,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.294672599999998,34.976919400000000
179,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.297161799999998,34.977449300000004
180,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.299203399999996,34.974229700000002
181,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.299752100000006,34.973864399999997
182,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.301125499999998,34.974075200000001
183,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.301485499999998,34.974401000000000
184,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.302791099999993,34.973985200000001
185,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.302804800000004,34.974624800000001
186,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.305170799999999,34.974667099999998
187,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.305321599999999,34.973756399999999
188,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.306398299999998,34.973525500000001
189,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.307628399999999,34.974012500000001
190,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308053599999994,34.974481200000000
191,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.307864899999998,34.975264199999998
192,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308155799999994,34.975906799999997
193,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.307812200000001,34.976470599999999
194,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.307084200000006,34.976669299999998
195,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.304251899999997,34.976224199999997
196,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.302556600000003,34.976276499999997
197,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.302930099999998,34.978865599999999
198,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.303425899999993,34.979654300000000
199,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.304323400000001,34.980133799999997
200,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.305600499999997,34.982672500000000
201,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.307344999999998,34.980314499999999
202,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308691100000004,34.979144200000000
